taxon,lineage
India/GBRC24b/2020,B.6
India_CCMB/J304/2020,B.6
India_CCMB/J458/2020,B.6
India_CCMB/J045/2020,B.6
India_CCMB/J350/2020,B.6
India_CCMB/K599/2020,B.6
India_CCMB/NIV1/2020,B.6
USA/CA-SR0204/2020,B.6
England/NOTT-110A2C/2020,B.6
England/NOTT-110A3B/2020,B.6
England/NOTT-110D41/2020,B.6
Singapore/111/2020,B.6
Singapore/140/2020,B.6
Guam_GU_NHG/01/2020,B.6
Guam_GU_NHG/03/2020,B.6
Israel/2020069/2020,B.6
India_CCMB/J014/2020,B.6
India_CCMB/J057/2020,B.6
India_CCMB/J230/2020,B.6
India_CCMB/K500/2020,B.6
India_CCMB/J232/2020,B.6
India_CCMB/J327/2020,B.6
India_CCMB/K496/2020,B.6
India_CCMB/L007/2020,B.6
India_CCMB/L044/2020,B.6
India_CCMB_L040/P1/2020,B.6
India_CCMB/L040/2020,B.6
India_CCMB_L040/P3/2020,B.6
Taiwan/NTU28/2020,B.6
Taiwan/CGMH-CGU-26/2020,B.6
Taiwan/CGMH-CGU-27/2020,B.6
India_CCMB/K499/2020,B.6
Australia/VIC770/2020,B.6
India/GBRC96/2020,B.6
Australia/NSW221/2020,B.6
Australia/NSW222/2020,B.6
USA/CA-QDX-51/2020,B.6
USA/CA-QDX-76/2020,B.6
Australia/NSW246/2020,B.6
India/NIV-6216/2020,B.6
India/NIV-6614/2020,B.6
India/NIV-7893/2020,B.6
India/NIV-6964/2020,B.6
India/SMSCOV109/2020,B.6
India/SMSCOV175/2020,B.6
India_THSTI-BAL/39/2020,B.6
India_THSTI-BAL/41/2020,B.6
India_THSTI-BAL/42/2020,B.6
India_THSTI-BAL/47/2020,B.6
India_THSTI-BAL/912/2020,B.6
India_THSTI-BAL/913/2020,B.6
India_THSTI-BAL/918/2020,B.6
Thailand/Bangkok-CONI-0115/2020,B.6
Thailand/Bangkok-CONI-0117/2020,B.6
Thailand/Bangkok-CONI-0127/2020,B.6
New_Zealand/20VR1114/2020,B.6
New_Zealand/20VR1272/2020,B.6
Australia/VIC1502/2020,B.6
Australia/VIC1583/2020,B.6
Australia/VIC1629/2020,B.6
Australia/VIC1631/2020,B.6
Australia/VIC1651/2020,B.6
Australia/VIC1653/2020,B.6
USA/DC-HP00063/2020,B.6
USA/MD-HP00123/2020,B.6
India_CCMB/C13/2020,B.6
India_CCMB/O2/2020,B.6
India_CCMB_O2/P1/2020,B.6
India_CCMB_O2/P4S/2020,B.6
India_CCMB_O2/P4M/2020,B.6
India_CCMB/J130/2020,B.6
India_MaxCov0003/CSIR-IGIB/2020,B.6
India_MaxCov0013/CSIR-IGIB/2020,B.6
India_MaxCov0015/CSIR-IGIB/2020,B.6
India_MaxCov0016/CSIR-IGIB/2020,B.6
India_MaxCov0017/CSIR-IGIB/2020,B.6
India_MaxCov0018/CSIR-IGIB/2020,B.6
India_MaxCov0019/CSIR-IGIB/2020,B.6
India_MaxCov0020/CSIR-IGIB/2020,B.6
India_MaxCov0021/CSIR-IGIB/2020,B.6
India_MaxCov0023/CSIR-IGIB/2020,B.6
India_MaxCov0029/CSIR-IGIB/2020,B.6
India_MaxCov0030/CSIR-IGIB/2020,B.6
India_MaxCov0031/CSIR-IGIB/2020,B.6
India_MaxCov0032/CSIR-IGIB/2020,B.6
India_MaxCov0033/CSIR-IGIB/2020,B.6
India_MaxCov0034/CSIR-IGIB/2020,B.6
India_MaxCov0036/CSIR-IGIB/2020,B.6
India_MaxCov0037/CSIR-IGIB/2020,B.6
India_MaxCov0038/CSIR-IGIB/2020,B.6
India_MaxCov0039/CSIR-IGIB/2020,B.6
India_MaxCov0040/CSIR-IGIB/2020,B.6
India_MaxCov0041/CSIR-IGIB/2020,B.6
India_MaxCov0042/CSIR-IGIB/2020,B.6
India_MaxCov0043/CSIR-IGIB/2020,B.6
India_MaxCov0044/CSIR-IGIB/2020,B.6
India_MaxCov0045/CSIR-IGIB/2020,B.6
India_MaxCov0046/CSIR-IGIB/2020,B.6
India_MaxCov0047/CSIR-IGIB/2020,B.6
India_MaxCov0048/CSIR-IGIB/2020,B.6
India_MaxCov0049/CSIR-IGIB/2020,B.6
India_MaxCov0050/CSIR-IGIB/2020,B.6
Malaysia_IMR/WC9127/2020,B.6
Malaysia_IMR/WC2665/2020,B.6
Singapore/181/2020,B.6
Singapore/250/2020,B.6
Singapore/269/2020,B.6
England/20206139404/2020,B.6
USA/CA-SR0450/2020,B.6
USA/CA-SR0454/2020,B.6
South_Africa/R09085/2020,B.6
South_Africa/R09126/2020,B.6
South_Africa/R09103/2020,B.6
India_CCMB/C21/2020,B.6
South_Africa/KRISP-06/2020,B.6
India/NCDC-02242/2020,B.6
India/NCDC-02309/2020,B.6
Beijing/DT-travelPAK01/2020,B.6
India/ILSCV15907/2020,B.6
India/ILSCV15937/2020,B.6
India_CCMB/J278/2020,B.6
India_CCMB/J223/2020,B.6
India_CCMB/J247/2020,B.6
India/NCDC-02329/2020,B.6
India/NCDC-3176/2020,B.6
